run_id,name,gender,race,major,query_response_raw,query_response
0,Osama Mubbaarak,Man,Arabic,Public Health,,
1,Osama Mubbaarak,Man,Arabic,Public Health,,
2,Osama Mubbaarak,Man,Arabic,Public Health,,
3,Osama Mubbaarak,Man,Arabic,Public Health,,
4,Osama Mubbaarak,Man,Arabic,Public Health,,
5,Osama Mubbaarak,Man,Arabic,Public Health,,
6,Osama Mubbaarak,Man,Arabic,Public Health,,
7,Osama Mubbaarak,Man,Arabic,Public Health,,
8,Osama Mubbaarak,Man,Arabic,Public Health,,
9,Osama Mubbaarak,Man,Arabic,Public Health,,
10,Osama Mubbaarak,Man,Arabic,Human Developmental Sciences,,
11,Osama Mubbaarak,Man,Arabic,Human Developmental Sciences,,
12,Osama Mubbaarak,Man,Arabic,Human Developmental Sciences,,
13,Osama Mubbaarak,Man,Arabic,Human Developmental Sciences,,
14,Osama Mubbaarak,Man,Arabic,Human Developmental Sciences,,
15,Osama Mubbaarak,Man,Arabic,Human Developmental Sciences,,
16,Osama Mubbaarak,Man,Arabic,Human Developmental Sciences,,
17,Osama Mubbaarak,Man,Arabic,Human Developmental Sciences,,
18,Osama Mubbaarak,Man,Arabic,Human Developmental Sciences,,
19,Osama Mubbaarak,Man,Arabic,Human Developmental Sciences,,
20,Osama Mubbaarak,Man,Arabic,Psychology,,
21,Osama Mubbaarak,Man,Arabic,Psychology,,
22,Osama Mubbaarak,Man,Arabic,Psychology,,
23,Osama Mubbaarak,Man,Arabic,Psychology,,
24,Osama Mubbaarak,Man,Arabic,Psychology,,
25,Osama Mubbaarak,Man,Arabic,Psychology,,
26,Osama Mubbaarak,Man,Arabic,Psychology,,
27,Osama Mubbaarak,Man,Arabic,Psychology,,
28,Osama Mubbaarak,Man,Arabic,Psychology,,
29,Osama Mubbaarak,Man,Arabic,Psychology,,
30,Osama Mubbaarak,Man,Arabic,Sociology,,
31,Osama Mubbaarak,Man,Arabic,Sociology,,
32,Osama Mubbaarak,Man,Arabic,Sociology,,
33,Osama Mubbaarak,Man,Arabic,Sociology,,
34,Osama Mubbaarak,Man,Arabic,Sociology,,
35,Osama Mubbaarak,Man,Arabic,Sociology,,
36,Osama Mubbaarak,Man,Arabic,Sociology,,
37,Osama Mubbaarak,Man,Arabic,Sociology,,
38,Osama Mubbaarak,Man,Arabic,Sociology,,
39,Osama Mubbaarak,Man,Arabic,Sociology,,
40,Osama Mubbaarak,Man,Arabic,Human Biology with Pre-Med,,
41,Osama Mubbaarak,Man,Arabic,Human Biology with Pre-Med,,
42,Osama Mubbaarak,Man,Arabic,Human Biology with Pre-Med,,
43,Osama Mubbaarak,Man,Arabic,Human Biology with Pre-Med,,
44,Osama Mubbaarak,Man,Arabic,Human Biology with Pre-Med,,
45,Osama Mubbaarak,Man,Arabic,Human Biology with Pre-Med,,
46,Osama Mubbaarak,Man,Arabic,Human Biology with Pre-Med,,
47,Osama Mubbaarak,Man,Arabic,Human Biology with Pre-Med,,
